date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-10-13,170.8144,172.8812,168.4551,168.7099,3436638,3436638,-1.5194,-0.893,170.3021,"Oct 13, 14",0.1161199411210162
2014-10-14,169.38,171.56,167.7662,168.6439,3557237,3557237,-0.066063,-0.039,169.5197,"Oct 14, 14",0.11568331045432746
2014-10-15,166.5582,167.936,161.8679,167.266,6330496,6330496,-1.3778,-0.817,165.1086,"Oct 15, 14",0.10656765294477609
2014-10-16,162.3398,166.3695,161.6225,162.8683,7798623,7798623,-4.3978,-2.629,163.7598,"Oct 16, 14",0.07747415774936742
2014-10-17,165.9071,167.5491,165.2465,166.9546,4950997,4950997,4.0863,2.509,166.6413,"Oct 17, 14",0.10450755007194483
2014-10-20,166.3034,167.9833,165.9259,167.8323,2307943,2307943,0.877665,0.526,167.4824,"Oct 20, 14",0.11031407637728863
2014-10-21,169.1346,170.2105,168.323,170.0406,2652821,2652821,2.2083,1.316,169.3935,"Oct 21, 14",0.12492334154772348
2014-10-22,170.3898,170.6257,166.8791,166.8791,3088270,3088270,-3.1615,-1.859,168.1733,"Oct 22, 14",0.10400807105171755
2014-10-23,168.7382,170.9088,168.6533,169.9273,3397006,3397006,3.0482,1.827,169.7872,"Oct 23, 14",0.12417379223657446
2014-10-24,170.1255,173.1643,169.8801,173.0322,2900871,2900871,3.1049,1.827,172.3757,"Oct 24, 14",0.1447146188578138
2014-10-27,172.5698,173.7966,172.0507,173.5607,2388446,2388446,0.528492,0.305,173.1338,"Oct 27, 14",0.14821097199940458
2014-10-28,173.7966,175.8351,172.8906,175.8351,3036526,3036526,2.2744,1.31,174.3422,"Oct 28, 14",0.1632575293981444
2014-10-29,175.618,176.7693,174.9574,175.6086,3378961,3378961,-0.226495,-0.129,175.6484,"Oct 29, 14",0.16175909233746255
2014-10-30,179.9308,180.1479,178.6757,179.4778,2309062,2309062,3.8693,2.203,179.309,"Oct 30, 14",0.18735623439128063
2014-10-31,178.5907,179.308,177.5338,179.2985,3357146,3357146,-0.179309,-0.1,178.8825,"Oct 31, 14",0.18617005441344286
2014-11-03,179.6383,181.1765,179.072,180.0913,2305281,2305281,0.792732,0.442,180.159,"Nov 3, 14",0.19141491490663706
2014-11-04,179.7515,180.2234,178.1944,179.5628,2027621,2027621,-0.528487,-0.293,179.4083,"Nov 4, 14",0.18791856176504645
2014-11-05,180.7991,181.0727,178.9399,179.157,3141124,3141124,-0.405804,-0.226,179.2984,"Nov 5, 14",0.18523394472652704
2014-11-06,179.6666,180.6669,179.1003,180.2517,1915405,1915405,1.0947,0.611,180.0803,"Nov 6, 14",0.19247605973901394
2014-11-07,180.4876,180.7,178.6474,179.978,1981390,1981390,-0.273682,-0.152,179.6902,"Nov 7, 14",0.19066536559548822
2014-11-10,179.7893,181.0727,179.7893,181.0067,1553929,1553929,1.0287,0.572,180.7148,"Nov 10, 14",0.19747084994128639
2014-11-11,181.0161,181.8372,179.8081,181.0822,1629826,1629826,0.075498,0.042,180.9857,"Nov 11, 14",0.19797032896151368
2014-11-12,179.9308,180.1479,178.6757,179.4778,2322218,2322218,-1.6043,-0.886,179.309,"Nov 12, 14",0.18735623439128063
2014-11-13,180.1007,180.431,178.553,179.5345,1749632,1749632,0.056623,0.032,179.3262,"Nov 13, 14",0.18773133982766327
2014-11-14,179.6477,180.1007,178.9494,179.2891,1691559,1691559,-0.245369,-0.137,179.296,"Nov 14, 14",0.18610786762152054
2014-11-17,178.855,180.431,178.5719,179.2419,1593391,1593391,-0.047186,-0.026,179.5006,"Nov 17, 14",0.18579561053867646
2014-11-18,178.9494,179.9308,178.921,178.9682,1812415,1812415,-0.273684,-0.153,179.2319,"Nov 18, 14",0.18398491639515074
